JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460859.543,7.5,,,Vis.,PYG,U,B-1,,072.02,,,,Z,,,,EG AND,BAA-VSS,STD,,,,
2460859.7641,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460861.52222,7.5,,,Vis.,PBYA,,73,76,X28788EJX,15X70 Bin.,,,Z,,,,EG And,AAVSO,STD,,,,
2460861.5476,7.238,0.016,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.28,Z,7.025,7.426,,EG AND,AAVSO,STD,,,,
2460862.5429,7.243,0.013,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.29,Z,7.025,7.406,,EG AND,AAVSO,STD,,,,
2460864.5924,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460865.5993,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460866.6028,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460868.88333,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460869.77639,7.2,,,Vis.,CKB,U,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460871.5903,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460872.5938,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460876.4214,7.254,0.028,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.90,Z,7.025,7.379,,EG AND,AAVSO,STD,,,,
2460878.93542,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460879.5591,7.316,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.10,Z,7.025,7.414,,EG AND,AAVSO,STD,,,,
2460880.77153,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460881.6007,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460882.38264,7.3,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460882.5993,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460882.60131,8.8528,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4579|CMAGINS=-12.7777|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1144|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.115,Z,-12.7777,-11.1144,None,EG And,AAVSO,STD,,,,
2460882.60207,8.893,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4179|CMAGINS=-12.7778|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1240|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.113,Z,-12.7778,-11.124,None,EG And,AAVSO,STD,,,,
2460882.60282,8.7843,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5259|CMAGINS=-12.7773|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1238|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.111,Z,-12.7773,-11.1238,None,EG And,AAVSO,STD,,,,
2460882.60357,8.9456,0.0044,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.3693|CMAGINS=-12.7819|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1171|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.109,Z,-12.7819,-11.1171,None,EG And,AAVSO,STD,,,,
2460882.60433,8.9125,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4054|CMAGINS=-12.7849|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1384|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.107,Z,-12.7849,-11.1384,None,EG And,AAVSO,STD,,,,
2460882.60508,8.8097,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5054|CMAGINS=-12.7821|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1252|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.105,Z,-12.7821,-11.1252,None,EG And,AAVSO,STD,,,,
2460882.60584,8.8806,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4396|CMAGINS=-12.7872|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1261|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.104,Z,-12.7872,-11.1261,None,EG And,AAVSO,STD,,,,
2460882.60659,8.9097,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4095|CMAGINS=-12.7862|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1271|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.102,Z,-12.7862,-11.1271,None,EG And,AAVSO,STD,,,,
2460882.60734,8.8029,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5270|CMAGINS=-12.7969|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1248|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.1,Z,-12.7969,-11.1248,None,EG And,AAVSO,STD,,,,
2460882.6081,8.9041,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4152|CMAGINS=-12.7863|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1490|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.098,Z,-12.7863,-11.149,None,EG And,AAVSO,STD,,,,
2460882.60885,8.8429,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4753|CMAGINS=-12.7852|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1206|KREFMAG=11.1530|KREFERR=0.0083|Comment = averaged,0,1.096,Z,-12.7852,-11.1206,None,EG And,AAVSO,STD,,,,
2460882.62302,8.9275,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.3930|CMAGINS=-12.7875|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1451|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.067,Z,-12.7875,-11.1451,None,EG And,AAVSO,STD,,,,
2460882.62377,9.1474,0.0045,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.1825|CMAGINS=-12.7969|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1531|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.066,Z,-12.7969,-11.1531,None,EG And,AAVSO,STD,,,,
2460882.62453,9.0926,0.0044,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.2501|CMAGINS=-12.8096|CREFMAG=9.5330|CREFERR=0.0048|KMAGINS=-11.1392|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.064,Z,-12.8096,-11.1392,None,EG And,AAVSO,STD,,,,
2460882.62528,9.0073,0.0044,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.3318|CMAGINS=-12.8062|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1382|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.063,Z,-12.8062,-11.1382,None,EG And,AAVSO,STD,,,,
2460882.62604,8.9556,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.3740|CMAGINS=-12.7966|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1588|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.061,Z,-12.7966,-11.1588,None,EG And,AAVSO,STD,,,,
2460882.62679,8.8194,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5162|CMAGINS=-12.8026|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1438|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.06,Z,-12.8026,-11.1438,None,EG And,AAVSO,STD,,,,
2460882.62755,8.7612,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5837|CMAGINS=-12.8119|CREFMAG=9.5330|CREFERR=0.0048|KMAGINS=-11.1601|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.059,Z,-12.8119,-11.1601,None,EG And,AAVSO,STD,,,,
2460882.6283,8.8406,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4992|CMAGINS=-12.8068|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1494|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.057,Z,-12.8068,-11.1494,None,EG And,AAVSO,STD,,,,
2460882.62906,8.7866,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5536|CMAGINS=-12.8072|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1677|KREFMAG=11.1530|KREFERR=0.0081|Comment = averaged,0,1.056,Z,-12.8072,-11.1677,None,EG And,AAVSO,STD,,,,
2460882.62981,8.7681,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5607|CMAGINS=-12.7958|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1323|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.055,Z,-12.7958,-11.1323,None,EG And,AAVSO,STD,,,,
2460882.63056,8.8837,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4533|CMAGINS=-12.8040|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1540|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.054,Z,-12.804,-11.154,None,EG And,AAVSO,STD,,,,
2460882.63132,8.8281,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5076|CMAGINS=-12.8027|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1464|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.052,Z,-12.8027,-11.1464,None,EG And,AAVSO,STD,,,,
2460882.63207,8.7714,0.0042,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.5481|CMAGINS=-12.7864|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1428|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.051,Z,-12.7864,-11.1428,None,EG And,AAVSO,STD,,,,
2460882.63283,8.8503,0.0043,,B,CDZ,,000-BJS-870,000-BLF-412,X40493AAB,|VMAGINS=-13.4678|CMAGINS=-12.7851|CREFMAG=9.5330|CREFERR=0.0049|KMAGINS=-11.1513|KREFMAG=11.1530|KREFERR=0.0082|Comment = averaged,0,1.05,Z,-12.7851,-11.1513,None,EG And,AAVSO,STD,,,,
2460883.482639,7.2,,,Vis.,BPHC,,76,70,X40493ACY,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460883.6090,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460884.4910,7.4,,,Vis.,HGUA,,76,70,23189ATR,,,,Z,,,,EG AND,SAAF,STD,,,,
2460884.925,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460885.5097,7.5,,,Vis.,PYG,,B-1,,072.02,,,,Z,,,,EG AND,BAA-VSS,STD,,,,
2460885.78888889,7.1,,,Vis.,CVIC,,70,76,X40401YN,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460886.4886,7.259,0.015,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.25,Z,7.025,7.444,,EG AND,AAVSO,STD,,,,
2460890.5139,7.4,,,Vis.,PYG,U,V=B,,072.02,,,,Z,,,,EG AND,BAA-VSS,STD,,,,
2460891.5563,7.275,0.013,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.05,Z,7.025,7.434,,EG AND,AAVSO,STD,,,,
2460891.6090,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460892.6139,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460893.6069,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460894.5505,7.247,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.04,Z,7.025,7.427,,EG AND,AAVSO,STD,,,,
2460894.6028,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460895.6069,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460895.96181,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460896.6194,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460897.6229,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460899.5636,7.224,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.02,Z,7.025,7.440,,EG AND,AAVSO,STD,,,,
2460900.38958,7.05,,,Vis.,MPTA,B,70,76,X28757OO,T148mm/ 30x,,,Z,,,,EG And,AAVSO,STD,,,,
2460902.52639,7.4,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460905.3261,7.154,0.016,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.10,Z,7.025,7.400,,EG AND,AAVSO,STD,,,,
2460905.63333,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460906.5147,7.217,0.007,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.05,Z,7.025,7.424,,EG AND,AAVSO,STD,,,,
2460906.6559,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460908.48,7.5,,,Vis.,JLZ,,69,67,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2460910.38194,7.0,,,Vis.,MPTA,U,70,76,X28757OO,B10x50mm,,,Z,,,,EG And,AAVSO,STD,,,,
2460910.6028,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460911.6229,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460912.315,7.8,,,Vis.,OGAA,,76,84,AAVSO X38667TT,,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460912.6278,7.3,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460912.93264,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460913.3463,7.463,0.023,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.64,Z,7.025,7.412,,EG AND,AAVSO,STD,,,,
2460913.34861,7.2,,,Vis.,PARC,,70,73,X40648ECW,L102/500,,,Z,,,,EG And,AAVSO,STD,,,,
2460915.47917,7.5,,,Vis.,PBYA,,73,76,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And,AAVSO,STD,,,,
2460918.3674,7.5,,,Vis.,HGUA,,70,76,23189ATR,,,,Z,,,,EG AND,SAAF,STD,,,,
2460919.3193,7.316,0.020,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.74,Z,7.025,7.386,,EG AND,AAVSO,STD,,,,
2460919.344,7.6,,,Vis.,OGAA,B,76,,AAVSO X38667TT,high humidity,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460920.31528,7.3,,,Vis.,PARC,,73,76,x40648ECW,L102/500 ,,,Z,,,,eg and,MCSE,STD,,,,
2460921.90833,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460922.6044,7.267,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.06,Z,7.025,7.406,,EG AND,AAVSO,STD,,,,
2460925.3046,7.197,0.017,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.72,Z,7.025,7.404,,EG AND,AAVSO,STD,,,,
2460925.42708,7.3,,,Vis.,VATA,B,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460927.65347,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460931.25694,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460931.414792,8.5,0.3,,TB,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,8.2,None,EG And,,STD,0,,,
2460931.414792,7.1,0.2,,TG,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,7.5,None,EG And,,STD,0,,,
2460931.414792,6.46,0.07,,TR,SJOAA,,ENSEMBLE,000-BBC-019,X40765VW,"""NIKON D7200, 300.0mm""",0,1.36294,Z,,7.28,None,EG And,,STD,0,,,
2460932.62639,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460933.2807,7.223,0.018,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.74,Z,7.025,7.368,,EG AND,AAVSO,STD,,,,
2460934.25,7.5,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460934.29583,7.4,,,Vis.,PARC,,73,76,X40648ECW,L102/500 ,,,Z,,,,EG And,MCSE,STD,,,,
2460934.93056,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460935.46806,7.5,,,Vis.,PBYA,,70,76,X28788EJX,15X70 Binoculars ,,,Z,,,,EG And ,AAVSO,STD,,,,
2460936.62847,7.4,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460937.2975,7.212,0.009,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.52,Z,7.025,7.388,,EG AND,AAVSO,STD,,,,
2460937.7096,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460938.24306,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460938.315,7.8,,,Vis.,OGAA,,76,84,AAVSO X38667TT,,,,Z,,,,EG And,BAA-VSS,STD,,,,
2460938.42083,7.8,,,Vis.,VATA,,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2460938.7548,7.4,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2460938.76389,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2460939.27083,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460939.2747,7.233,0.012,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.65,Z,7.025,7.409,,EG AND,AAVSO,STD,,,,
2460939.40625,7.1,,,Vis.,BPHC,,76,70,X40493ACY,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460939.53,7.9,,,Vis.,JLZ,,76,73,10256GX,,,,Z,,,,EG AND,MCSE,STD,,,,
2460939.61875,7.7,,,Vis.,CDYA,U,76,73,10-star tutorial,,0,,Z,,,,EG And,AAVSO,STD,,,,
2460940.28472,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460941.25347,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460941.2827,7.224,0.037,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.54,Z,7.025,7.382,,EG AND,AAVSO,STD,,,,
2460942.24306,7.2,,,Vis.,PFR,,76,70,X41346BHU,,,,Z,,,,EG AND,AAK,STD,,,,
2460943.45625,7.5,,,Vis.,PBYA,,73,76,X29175CV ,15X70 Binoculars ,,,Z,,,,EG And ,AAVSO,STD,,,,
2460945.57014,6.9,,,Vis.,CKB,,67,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
