JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2461058.58494,7.277,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.072,Z,10.171,8.442,,EG AND,BAA-VSS,STD,,,,
2461058.58603,8.776,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.074,Z,11.153,9.493,,EG AND,BAA-VSS,STD,,,,
2461058.58711,7.263,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.076,Z,10.171,8.419,,EG AND,BAA-VSS,STD,,,,
2461058.58819,8.773,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.078,Z,11.153,9.493,,EG AND,BAA-VSS,STD,,,,
2461058.58928,7.222,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.081,Z,10.171,8.445,,EG AND,BAA-VSS,STD,,,,
2461058.59036,8.784,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.083,Z,11.153,9.502,,EG AND,BAA-VSS,STD,,,,
2461058.59144,7.253,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.085,Z,10.171,8.476,,EG AND,BAA-VSS,STD,,,,
2461058.59252,8.773,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.088,Z,11.153,9.499,,EG AND,BAA-VSS,STD,,,,
2461058.59361,7.281,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.090,Z,10.171,8.391,,EG AND,BAA-VSS,STD,,,,
2461058.59469,8.799,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.092,Z,11.153,9.513,,EG AND,BAA-VSS,STD,,,,
2461058.59577,7.223,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.095,Z,10.171,8.450,,EG AND,BAA-VSS,STD,,,,
2461058.59685,8.778,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.097,Z,11.153,9.499,,EG AND,BAA-VSS,STD,,,,
2461058.59793,7.230,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.100,Z,10.171,8.425,,EG AND,BAA-VSS,STD,,,,
2461058.59902,8.787,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.103,Z,11.153,9.512,,EG AND,BAA-VSS,STD,,,,
2461058.60010,7.263,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.105,Z,10.171,8.444,,EG AND,BAA-VSS,STD,,,,
2461058.60118,8.765,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.108,Z,11.153,9.480,,EG AND,BAA-VSS,STD,,,,
2461058.60227,7.269,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.111,Z,10.171,8.417,,EG AND,BAA-VSS,STD,,,,
2461058.60335,8.791,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.113,Z,11.153,9.496,,EG AND,BAA-VSS,STD,,,,
2461058.60443,7.265,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.116,Z,10.171,8.442,,EG AND,BAA-VSS,STD,,,,
2461058.60552,8.776,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.119,Z,11.153,9.501,,EG AND,BAA-VSS,STD,,,,
2461058.60660,7.267,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.122,Z,10.171,8.438,,EG AND,BAA-VSS,STD,,,,
2461058.60768,8.802,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.125,Z,11.153,9.512,,EG AND,BAA-VSS,STD,,,,
2461058.60876,7.246,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.128,Z,10.171,8.455,,EG AND,BAA-VSS,STD,,,,
2461058.60985,8.770,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.131,Z,11.153,9.494,,EG AND,BAA-VSS,STD,,,,
2461058.61093,7.273,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.134,Z,10.171,8.488,,EG AND,BAA-VSS,STD,,,,
2461058.61201,8.768,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.137,Z,11.153,9.491,,EG AND,BAA-VSS,STD,,,,
2461058.61309,7.231,0.074,,V,SFOA,,000-BLF-412,000-BJS-870,X27279GR,,0,1.141,Z,10.171,8.440,,EG AND,BAA-VSS,STD,,,,
2461058.61418,8.774,0.110,,B,SFOA,,000-BLF-412,000-BJS-870,X41626CII,,0,1.144,Z,11.153,9.484,,EG AND,BAA-VSS,STD,,,,
2461058.69107,5.6622,0.0039,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.4284|CMAGINS=-12.2075|CREFMAG=8.9700|CREFERR=0.0053|KMAGINS=-13.1712|KREFMAG=8.1160|KREFERR=0.0045,1,1.643,Z,-12.2075,-13.1712,None,EG And,AAVSO,STD,1,,,
2461058.69633,7.0077,0.0026,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5279|CMAGINS=-13.1645|CREFMAG=9.5490|CREFERR=0.0034|KMAGINS=-14.1355|KREFMAG=0.0000|KREFERR=0.0029,1,1.697,Z,-13.1645,-14.1355,None,EG And,AAVSO,STD,1,,,
2461058.70372,7.5884,0.0033,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.2221|CMAGINS=-12.5859|CREFMAG=10.1710|CREFERR=0.0045|KMAGINS=-13.5995|KREFMAG=9.2000|KREFERR=0.0037,1,1.778,Z,-12.5859,-13.5995,None,EG And,AAVSO,STD,1,,,
2461059.2330,7.309,0.013,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.07,Z,7.025,7.407,,EG AND,AAVSO,STD,,,,
2461059.23611,7.6,,,Vis.,MOSB,BU,7.0,7.6,x39596aaw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461059.276,7.3,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461059.33819,7.9,,,Vis.,VATA,,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461059.5074,7.5,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2461059.56042,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461060.68532,5.4964,0.0043,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.3907|CMAGINS=-12.0083|CREFMAG=8.9700|CREFERR=0.0059|KMAGINS=-12.9332|KREFMAG=8.1160|KREFERR=0.0050,1,1.641,Z,-12.0083,-12.9332,None,EG And,AAVSO,STD,1,,,
2461060.6907,6.8792,0.0028,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5242|CMAGINS=-13.0410|CREFMAG=9.5490|CREFERR=0.0037|KMAGINS=-13.9729|KREFMAG=0.0000|KREFERR=0.0031,1,1.695,Z,-13.041,-13.9729,None,EG And,AAVSO,STD,1,,,
2461060.6989,7.5609,0.0035,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.1412|CMAGINS=-12.5001|CREFMAG=10.1710|CREFERR=0.0047|KMAGINS=-13.4857|KREFMAG=9.2000|KREFERR=0.0039,1,1.786,Z,-12.5001,-13.4857,None,EG And,AAVSO,STD,1,,,
2461061.66709,5.3858,0.0043,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5264|CMAGINS=-12.0485|CREFMAG=8.9700|CREFERR=0.0058|KMAGINS=-12.9606|KREFMAG=8.1160|KREFERR=0.0049,1,1.506,Z,-12.0485,-12.9606,None,EG And,AAVSO,STD,1,,,
2461061.67245,6.9014,0.0027,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5337|CMAGINS=-13.1034|CREFMAG=9.5490|CREFERR=0.0035|KMAGINS=-14.0507|KREFMAG=0.0000|KREFERR=0.0030,1,1.549,Z,-13.1034,-14.0507,None,EG And,AAVSO,STD,1,,,
2461061.68051,7.6254,0.0033,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.1887|CMAGINS=-12.6149|CREFMAG=10.1710|CREFERR=0.0044|KMAGINS=-13.6015|KREFMAG=9.2000|KREFERR=0.0037,1,1.621,Z,-12.6149,-13.6015,None,EG And,AAVSO,STD,1,,,
2461062.97222,7.2,,,Vis.,SANG,,7.0,7.3,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461065.3390,7.291,0.019,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.54,Z,7.025,7.394,,EG AND,AAVSO,STD,,,,
2461066.68226,5.5494,0.004,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.4842|CMAGINS=-12.1588|CREFMAG=8.9700|CREFERR=0.0055|KMAGINS=-13.1154|KREFMAG=8.1160|KREFERR=0.0046,1,1.783,Z,-12.1588,-13.1154,None,EG And,AAVSO,STD,1,,,
2461066.68756,6.9678,0.0027,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5110|CMAGINS=-13.1245|CREFMAG=9.5490|CREFERR=0.0035|KMAGINS=-14.1002|KREFMAG=0.0000|KREFERR=0.0029,1,1.848,Z,-13.1245,-14.1002,None,EG And,AAVSO,STD,1,,,
2461066.69499,7.6434,0.0033,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.1661|CMAGINS=-12.6040|CREFMAG=10.1710|CREFERR=0.0044|KMAGINS=-13.6102|KREFMAG=9.2000|KREFERR=0.0037,1,1.948,Z,-12.604,-13.6102,None,EG And,AAVSO,STD,1,,,
2461067.54097,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461068.98264,7.5,,,Vis.,SANG,,7.3,7.6,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461070.67148,5.6135,0.004,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.4406|CMAGINS=-12.1674|CREFMAG=8.9700|CREFERR=0.0055|KMAGINS=-13.1457|KREFMAG=8.1160|KREFERR=0.0046,1,1.785,Z,-12.1674,-13.1457,None,EG And,AAVSO,STD,1,,,
2461070.67681,6.9275,0.0027,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.5114|CMAGINS=-13.0604|CREFMAG=9.5490|CREFERR=0.0036|KMAGINS=-14.0542|KREFMAG=0.0000|KREFERR=0.0030,1,1.85,Z,-13.0604,-14.0542,None,EG And,AAVSO,STD,1,,,
2461070.68418,7.5376,0.0035,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.1774|CMAGINS=-12.4994|CREFMAG=10.1710|CREFERR=0.0047|KMAGINS=-13.5358|KREFMAG=9.2000|KREFERR=0.0039,1,1.95,Z,-12.4994,-13.5358,None,EG And,AAVSO,STD,1,,,
2461071.204261,7.027,0.0541,,TG,SIVB,,ENSEMBLE,000-BBB-763,,"""ENSEMBLE OF GAIA DR3 STARS ( TRANSFORMED TO JOHNSON-V. ) (LOCAL DATABASE , APERTURE=3.0 HFD, ANNULUS=6 HFD)""",0,,Z,,4.749,2461071.20322,EG AND,,STD,,,,
2461072.54375,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461072.65896,5.1549,0.0057,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.0835|CMAGINS=-11.3487|CREFMAG=8.9700|CREFERR=0.0079|KMAGINS=-12.3254|KREFMAG=8.1160|KREFERR=0.0067,1,1.706,Z,-11.3487,-12.3254,None,EG And,AAVSO,STD,1,,,
2461072.66318,6.4417,0.0037,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.2936|CMAGINS=-12.3505|CREFMAG=9.5490|CREFERR=0.0050|KMAGINS=-13.3635|KREFMAG=0.0000|KREFERR=0.0042,1,1.752,Z,-12.3505,-13.3635,None,EG And,AAVSO,STD,1,,,
2461072.66771,7.3271,0.0046,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-14.6706|CMAGINS=-11.8509|CREFMAG=10.1710|CREFERR=0.0063|KMAGINS=-12.8901|KREFMAG=9.2000|KREFERR=0.0052,1,1.805,Z,-11.8509,-12.8901,None,EG And,AAVSO,STD,1,,,
2461072.67125,8.9317,0.0073,,B,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-13.2431|CMAGINS=-10.9389|CREFMAG=11.1530|CREFERR=0.0097|KMAGINS=-11.9807|KREFMAG=10.1900|KREFERR=0.0081,1,1.849,Z,-10.9389,-11.9807,None,EG And,AAVSO,STD,1,,,
2461073.64709,5.1905,0.0056,,I,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.0912|CMAGINS=-11.3965|CREFMAG=8.9700|CREFERR=0.0078|KMAGINS=-12.3534|KREFMAG=8.1160|KREFERR=0.0065,1,1.615,Z,-11.3965,-12.3534,None,EG And,AAVSO,STD,1,,,
2461073.65087,6.5178,0.0036,,R,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-15.2776|CMAGINS=-12.4201|CREFMAG=9.5490|CREFERR=0.0049|KMAGINS=-13.4221|KREFMAG=0.0000|KREFERR=0.0041,1,1.651,Z,-12.4201,-13.4221,None,EG And,AAVSO,STD,1,,,
2461073.65425,7.3582,0.0045,,V,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-14.7372|CMAGINS=-11.9354|CREFMAG=10.1710|CREFERR=0.0061|KMAGINS=-12.9659|KREFMAG=9.2000|KREFERR=0.0051,1,1.685,Z,-11.9354,-12.9659,None,EG And,AAVSO,STD,1,,,
2461073.65786,8.9388,0.0069,,B,WMOB,,000-BLF-412,000-BBB-991,X41715AHL,|VMAGINS=-13.3669|CMAGINS=-11.0606|CREFMAG=11.1530|CREFERR=0.0092|KMAGINS=-12.0890|KREFMAG=10.1900|KREFERR=0.0076,1,1.723,Z,-11.0606,-12.089,None,EG And,AAVSO,STD,1,,,
2461074.27153,7.3,,,Vis.,VATA,B,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461075.98056,7.2,,,Vis.,SANG,,7.0,7.3,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461076.19792,7.6,,,Vis.,MOSB,BUZ,7.0,7.6,x39596aaw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461078.54722,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461083.5255,7.5,,,Vis.,BLUA,,73,76,13618AQYH,,,,Z,,,,EG And,AAVSO,STD,,,,
2461086.261,7.4,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461087.55347,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461088.15278,7.6,,,Vis.,MOSB,,7.0,7.6,x39596aaw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461089.2640,7.337,0.014,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.47,Z,7.025,7.395,,EG AND,AAVSO,STD,,,,
2461089.2658,7.372,0.008,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.48,Z,7.025,7.409,,EG AND,AAVSO,STD,,,,
2461090.23333,7.8,,,Vis.,VATA,,76,80,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461092.3368,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461093.3146,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461093.55486,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461094.3194,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461095.3111,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461096.96458,7.2,,,Vis.,SANG,B,7.0,7.3,x27432baw,,,,Z,,,,eg and,AAVSO,STD,,,,
2461097.2926,7.302,0.011,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,1.91,Z,7.025,7.406,,EG AND,AAVSO,STD,,,,
2461100.55486,7.4,,,Vis.,CKB,,73,76,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461102.281,7.7,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461105.25486,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461108.287,7.4,,,Vis.,SRBR,,NA,,NA,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461112.55486,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461113.2606,7.245,0.017,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.06,Z,7.025,7.372,,EG AND,AAVSO,STD,,,,
2461113.2614,7.304,0.014,,V,VOL,,HD 3914,HD 3765,X27177DE,,1,2.07,Z,7.025,7.347,,EG AND,AAVSO,STD,,,,
2461113.55903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461114.28,7.5,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461120.55903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461162.95139,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461163.95278,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461170.55,7.4,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461170.58125,7.4,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461172.925,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461174.94583,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461176.6326,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461180.6375,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461181.6340,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461182.6347,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461183.6410,7.4,,,Vis.,GZN,,70,76,X17295ABK,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461186.92222,7.1,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461187.6201,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461188.6174,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461190.53681,7.8,,,Vis.,VATA,B,76,84,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461193.93056,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461197.6049,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461198.5979,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461199.5618,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461200.5951,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461201.5611,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461202.566,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461202.93819,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461203.5542,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461207.6111,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461208.5972,7.5,,,Vis.,GZN,,70,76,X17295ABK,,0,,Z,,,None,EG And,AAVSO,STD,,,,
2461218.54097,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
2461218.91458,6.9,,,Vis.,CKB,,69,70,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461219.48,7.5,,,Vis.,JLZ,,76,73,10256X,,,,Z,,,,EG AND,MCSE,STD,,,,
2461225.80903,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461231.87847,7.2,,,Vis.,CKB,,70,73,X39573GQL,,,,Z,,,,EG AND,AAVSO,STD,,,,
2461232.52292,7.5,,,Vis.,VATA,,70,76,X36506HE,,,,Z,,,,EG AND,MCSE,STD,,,,
